Year,Flow of Overseas Development Assistance,Aid sector (Development Assistance Committee code),Aid category (Development Assistance Committee code),Aid subcategory (Development Assistance Committee code),Aid description (creditor reporting system code),Recipient region,Recipient country,Type of aid finance,Value
2014,,Economic infrastructure and services (200),Banking and financial services (240),,Formal sector financial intermediaries (24030),,,,261255.52
2014,,Economic infrastructure and services (200),Banking and financial services (240),,Informal/semi-formal financial intermediaries (24040),,,,18721.8
2014,,Economic infrastructure and services (200),Banking and financial services (240),,Education/training in banking and financial services (24081),,,,7175.05
2014,,Economic infrastructure and services (200),Business and other services (250),,,,,,81462.88
2014,,Economic infrastructure and services (200),Business and other services (250),,Business support services and institutions (25010),,,,70472.09
2014,,Economic infrastructure and services (200),Business and other services (250),,Privatisation (25020),,,,10990.79
2014,,Production sectors (300),,,,,,,699387.3
2014,,Production sectors (300),,Agriculture (311),,,,,376191.22
2014,,Production sectors (300),,Agriculture (311),Agricultural policy and administrative management (31110),,,,53936.25
2014,,Production sectors (300),,Agriculture (311),Agricultural development (31120),,,,107094
2014,,Production sectors (300),,Agriculture (311),Agricultural land resources (31130),,,,13968.58
2014,,Production sectors (300),,Agriculture (311),Agricultural water resources (31140),,,,40471.08
2014,,Production sectors (300),,Agriculture (311),Agricultural inputs (31150),,,,6650.73
2014,,Production sectors (300),,Agriculture (311),Food crop production (31161),,,,10693.17
2014,,Production sectors (300),,Agriculture (311),Industrial crops/export crops (31162),,,,5285.71
2014,,Production sectors (300),,Agriculture (311),Livestock (31163),,,,9781.83
2014,,Production sectors (300),,Agriculture (311),Agrarian reform (31164),,,,183.18
2014,,Production sectors (300),,Agriculture (311),Agricultural alternative development (31165),,,,1046.56
2014,,Production sectors (300),,Agriculture (311),Agricultural extension (31166),,,,5346.85
2014,,Production sectors (300),,Agriculture (311),Agricultural education/training (31181),,,,651.34
2014,,Production sectors (300),,Agriculture (311),Agricultural research (31182),,,,69228.49
2014,,Production sectors (300),,Agriculture (311),Agricultural services (31191),,,,36276.85
2014,,Production sectors (300),,Agriculture (311),Plant and post-harvest protection and pest control (31192),,,,758
2014,,Production sectors (300),,Agriculture (311),Agricultural financial services (31193),,,,6225.41
2014,,Production sectors (300),,Agriculture (311),Agricultural co-operatives (31194),,,,5189.23
2014,,Production sectors (300),,Agriculture (311),Livestock/veterinary services (31195),,,,3403.95
2014,,Production sectors (300),,Forestry (312),,,,,138599.64
2014,,Production sectors (300),,Forestry (312),Forestry policy and administrative management (31210),,,,84031.79
2014,,Production sectors (300),,Forestry (312),Forestry development (31220),,,,53660.07
2014,,Production sectors (300),,Forestry (312),Fuelwood/charcoal (31261),,,,600.61
2014,,Production sectors (300),,Forestry (312),Forestry education/training (31281),,,,12.99
2014,,Production sectors (300),,Forestry (312),Forestry research (31282),,,,284.33
2014,,Production sectors (300),,Forestry (312),Forestry services (31291),,,,9.85
2014,,Production sectors (300),,Fishing (313),,,,,10689.52
2014,,Production sectors (300),,Fishing (313),Fishing policy and administrative management (31310),,,,6972.64
2014,,Production sectors (300),,Fishing (313),Fishery development (31320),,,,2944.7
2014,,Production sectors (300),,Fishing (313),Fishery education/training (31381),,,,121.78
2014,,Production sectors (300),,Fishing (313),Fishery research (31382),,,,367.32
2014,,Production sectors (300),,Fishing (313),Fishery services (31391),,,,283.08
2014,,Production sectors (300),,Industry (321),,,,,94473.82
2014,,Production sectors (300),,Industry (321),Industrial policy and administrative management (32110),,,,-3332.79
2014,,Production sectors (300),,Industry (321),Industrial development (32120),,,,6667.82
2014,,Production sectors (300),,Industry (321),Small and medium-sized enterprises (SME) development (32130),,,,70789.96
2014,,Production sectors (300),,Industry (321),Cottage industries and handicraft (32140),,,,49.1
2014,,Production sectors (300),,Industry (321),Agro-industries (32161),,,,6435.19
2014,,Production sectors (300),,Industry (321),Forest industries (32162),,,,111.99
2014,,Production sectors (300),,Industry (321),"Textiles, leather and substitutes (32163)",,,,116.76
2014,,Production sectors (300),,Industry (321),Chemicals (32164),,,,7837.35
2014,,Production sectors (300),,Industry (321),Fertilizer plants (32165),,,,0
2014,,Production sectors (300),,Industry (321),Cement/lime/plaster (32166),,,,34.94
2014,,Production sectors (300),,Industry (321),Energy manufacturing (32167),,,,0
2014,,Production sectors (300),,Industry (321),Pharmaceutical production (32168),,,,3.58
2014,,Production sectors (300),,Industry (321),Basic metal industries (32169),,,,0
2014,,Production sectors (300),,Industry (321),Non-ferrous metal industries (32170),,,,29.52
2014,,Production sectors (300),,Industry (321),Engineering (32171),,,,9.31
2014,,Production sectors (300),,Industry (321),Transport equipment industry (32172),,,,95.01
2014,,Production sectors (300),,Industry (321),Technological research and development (32182),,,,5626.07
2014,,Production sectors (300),,Mineral resources and mining (322),,,,,21701.71
2014,,Production sectors (300),,Mineral resources and mining (322),Mineral/mining policy and administrative management (32210),,,,11391.83
2014,,Production sectors (300),,Mineral resources and mining (322),Mineral prospection and exploration (32220),,,,3041.99
2014,,Production sectors (300),,Mineral resources and mining (322),Coal (32261),,,,0
2014,,Production sectors (300),,Mineral resources and mining (322),Oil and gas (32262),,,,6645.07
2014,,Production sectors (300),,Mineral resources and mining (322),Ferrous metals (32263),,,,188.74
2014,,Production sectors (300),,Mineral resources and mining (322),Nonferrous metals (32264),,,,0
2014,,Production sectors (300),,Mineral resources and mining (322),Precious metals/materials (32265),,,,92.39
2014,,Production sectors (300),,Mineral resources and mining (322),Industrial minerals (32266),,,,8.26
2014,,Production sectors (300),,Mineral resources and mining (322),Fertilizer minerals (32267),,,,208.56
2014,,Production sectors (300),,Mineral resources and mining (322),Offshore minerals (32268),,,,124.86
2014,,Production sectors (300),,Construction (323),,,,,9425.63
2014,,Production sectors (300),,Construction (323),Construction policy and administrative management (32310),,,,9425.63
2014,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),,,,,45310.45
2014,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade policy and administrative Management (33110),,,,29309.78
2014,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade facilitation (33120),,,,2241.88
2014,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Regional trade agreements (RTAs) (33130),,,,7180.86
2014,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Multilateral trade negotiations (33140),,,,4195.09
2014,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade-related adjustment (33150),,,,1756.04
2014,,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade education/training (33181),,,,626.8
2014,,Production sectors (300),,Tourism (332),,,,,2995.31
2014,,Production sectors (300),,Tourism (332),Tourism policy and administrative management (33210),,,,2995.31
2014,,Multisector or cross-cutting (400),,,,,,,1504107.55
2014,,Multisector or cross-cutting (400),General environmental protection (410),,,,,,686964.02
2014,,Multisector or cross-cutting (400),General environmental protection (410),,Environmental policy and administrative management (41010),,,,608705.74
2014,,Multisector or cross-cutting (400),General environmental protection (410),,Biosphere protection (41020),,,,14725.5
2014,,Multisector or cross-cutting (400),General environmental protection (410),,Bio-diversity (41030),,,,22136.44
2014,,Multisector or cross-cutting (400),General environmental protection (410),,Site preservation (41040),,,,1919.75
2014,,Multisector or cross-cutting (400),General environmental protection (410),,Flood prevention/control (41050),,,,16779.36
2014,,Multisector or cross-cutting (400),General environmental protection (410),,Environmental education/ training (41081),,,,1143.73
2014,,Multisector or cross-cutting (400),General environmental protection (410),,Environmental research (41082),,,,21553.5
2014,,Multisector or cross-cutting (400),Other multisector (430),,,,,,817143.53
2014,,Multisector or cross-cutting (400),Other multisector (430),,Multisector aid (43010),,,,438293.33
2014,,Multisector or cross-cutting (400),Other multisector (430),,Urban development and management (43030),,,,79322.5
2014,,Multisector or cross-cutting (400),Other multisector (430),,Rural development (43040),,,,186791.38
2014,,Multisector or cross-cutting (400),Other multisector (430),,Non-agricultural alternative development (43050),,,,1307.19
2014,,Multisector or cross-cutting (400),Other multisector (430),,Multisector education/training (43081),,,,353.89
2014,,Multisector or cross-cutting (400),Other multisector (430),,Research/scientific institutions (43082),,,,111075.25
2014,,Commodity aid and general programme assistance (500),,,,,,,194920.34
2014,,Commodity aid and general programme assistance (500),General budget support (510),,,,,,154306.56
2014,,Commodity aid and general programme assistance (500),General budget support (510),,General budget support-related aid (51010),,,,154306.56
2014,,Commodity aid and general programme assistance (500),Developmental food aid or food security assistance (520),,,,,,40613.78
2014,,Commodity aid and general programme assistance (500),Developmental food aid or food security assistance (520),,Food aid/Food security programmes (52010),,,,40613.78
2014,,Commodity aid and general programme assistance (500),Other commodity assistance (530),,,,,,0
2014,,Commodity aid and general programme assistance (500),Other commodity assistance (530),,Import support (capital goods) (53030),,,,0
2014,,Commodity aid and general programme assistance (500),Other commodity assistance (530),,Import support (commodities) (53040),,,,0
2014,,Debt relief (600),,,,,,,9573.86
2014,,Debt relief (600),,,Action relating to debt (60010),,,,3314.7
2014,,Debt relief (600),,,Debt forgiveness (60020),,,,6259.16
2014,,Debt relief (600),,,Relief of multilateral debt (60030),,,,0
2014,,Debt relief (600),,,Rescheduling and refinancing (60040),,,,0
2014,,Debt relief (600),,,Debt for development swap (60061),,,,0
2014,,Debt relief (600),,,Other debt swap (60062),,,,0
2014,,Debt relief (600),,,Debt buy-back (60063),,,,0
2014,,Humanitarian aid (700),,,,,,,1347294.24
2014,,Humanitarian aid (700),Emergency response (720),,,,,,1196134.36
2014,,Humanitarian aid (700),Emergency response (720),,Material relief assistance and services (72010),,,,725721.43
2014,,Humanitarian aid (700),Emergency response (720),,Emergency food aid (72040),,,,258039.07
2014,,Humanitarian aid (700),Emergency response (720),,Relief co-ordination; protection and support services (72050),,,,212373.86
2014,,Humanitarian aid (700),Reconstruction relief and rehabilitation (730),,,,,,94190.75
2014,,Humanitarian aid (700),Reconstruction relief and rehabilitation (730),,Reconstruction relief and rehabilitation (73010),,,,94190.75
2014,,Humanitarian aid (700),Disaster prevention and preparedness (740),,,,,,56969.13
2014,,Humanitarian aid (700),Disaster prevention and preparedness (740),,Disaster prevention and preparedness (74010),,,,56969.13
2014,,Administrative costs of donors (910),,,,,,,461925.15
2014,,Administrative costs of donors (910),,,Administrative costs (non-sector allocable) (91010),,,,461925.15
2014,,Refugees in donor countries (930),,,,,,,136533.07
2014,,Refugees in donor countries (930),,,Refugees in donor countries (non-sector allocable) (93010),,,,136533.07
2014,,Unallocated or unspecified (998),,,,,,,713757.66
2014,,Unallocated or unspecified (998),,,Sectors not specified (99810),,,,707989.18
2014,,Unallocated or unspecified (998),,,Promotion of development awareness (non-sector allocable) (99820),,,,5768.48
2014,Bilateral,,,,,,,,6822490.68
2014,Bilateral,Social infrastructure and services (100),,,,,,,3296493.72
2014,Bilateral,Social infrastructure and services (100),Education (110),,,,,,820921.66
2014,Bilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",,,,,364521.58
2014,Bilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Education policy and administrative management (11110),,,,302303
2014,Bilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Education facilities and training (11120),,,,12783.38
2014,Bilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Teacher training (11130),,,,34226.82
2014,Bilateral,Social infrastructure and services (100),Education (110),"Education, level unspecified  (111)",Educational research (11182),,,,15208.39
2014,Bilateral,Social infrastructure and services (100),Education (110),Basic education (112),,,,,197898.22
2014,Bilateral,Social infrastructure and services (100),Education (110),Basic education (112),Primary education (11220),,,,166195.06
2014,Bilateral,Social infrastructure and services (100),Education (110),Basic education (112),Basic life skills for youth and adults (11230),,,,31553.02
2014,Bilateral,Social infrastructure and services (100),Education (110),Basic education (112),Early childhood education (11240),,,,150.15
2014,Bilateral,Social infrastructure and services (100),Education (110),Secondary education (113),,,,,183647.27
2014,Bilateral,Social infrastructure and services (100),Education (110),Secondary education (113),Secondary education (11320),,,,169977.69
2014,Bilateral,Social infrastructure and services (100),Education (110),Secondary education (113),Vocational training (11330),,,,13669.58
2014,Bilateral,Social infrastructure and services (100),Education (110),Post-secondary education (114),,,,,74854.59
2014,Bilateral,Social infrastructure and services (100),Education (110),Post-secondary education (114),Higher education (11420),,,,52317.88
2014,Bilateral,Social infrastructure and services (100),Education (110),Post-secondary education (114),Advanced technical and managerial training (11430),,,,22536.72
2014,Bilateral,Social infrastructure and services (100),Health (120),,,,,,753528.32
2014,Bilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",,,,,166505.53
2014,Bilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",Health policy and administrative management (12110),,,,100578.29
2014,Bilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",Medical education/training (12181),,,,0
2014,Bilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",Medical research (12182),,,,65927.24
2014,Bilateral,Social infrastructure and services (100),Health (120),"Health, general (121)",Medical services (12191),,,,0
2014,Bilateral,Social infrastructure and services (100),Health (120),Basic health (122),,,,,587022.79
2014,Bilateral,Social infrastructure and services (100),Health (120),Basic health (122),Basic health care (12220),,,,213535.54
2014,Bilateral,Social infrastructure and services (100),Health (120),Basic health (122),Basic health infrastructure (12230),,,,0
2014,Bilateral,Social infrastructure and services (100),Health (120),Basic health (122),Basic nutrition (12240),,,,56217.94
2014,Bilateral,Social infrastructure and services (100),Health (120),Basic health (122),Infectious disease control (12250),,,,110386.62
2014,Bilateral,Social infrastructure and services (100),Health (120),Basic health (122),Health education (12261),,,,26897.41
2014,Bilateral,Social infrastructure and services (100),Health (120),Basic health (122),Malaria control (12262),,,,152460.5
2014,Bilateral,Social infrastructure and services (100),Health (120),Basic health (122),Tuberculosis control (12263),,,,21255.75
2014,Bilateral,Social infrastructure and services (100),Health (120),Basic health (122),Health personnel development (12281),,,,6269.03
2014,Bilateral,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,,,,,479508.92
2014,Bilateral,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,Population policy and administrative management (13010),,,,4270.11
2014,Bilateral,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,Reproductive health care (13020),,,,264471
2014,Bilateral,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,Family planning (13030),,,,162765.17
2014,Bilateral,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,STD control including HIV/AIDS (13040),,,,37997.07
2014,Bilateral,Social infrastructure and services (100),Population policies  or  programmes and reproductive health (130),,Personnel development for population and reproductive health (13081),,,,10005.56
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,,,,,180841.85
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Water sector policy and administrative management (14010),,,,29977.04
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Water resources conservation (including data collection) (14015),,,,1260.92
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Water supply and sanitation - large systems (14020),,,,7884.45
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Water supply - large systems (14021),,,,970.75
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Sanitation - large systems (14022),,,,0
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Basic drinking water supply and basic sanitation (14030),,,,80941.04
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Basic drinking water supply (14031),,,,19464.56
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Basic sanitation (14032),,,,39142.11
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,River basins? development (14040),,,,407.28
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Waste management / disposal (14050),,,,624.8
2014,Bilateral,Social infrastructure and services (100),Water and sanitation (140),,Education and training in water supply and sanitation (14081),,,,168.91
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),,,,,,863051.47
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",,,,,675704.66
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Public sector policy and administrative management (15110),,,,251587.6
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Public Finance Management (PFM) (15111),,,,63533.03
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Decentralisation and support to subnational government (15112),,,,50895.42
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Anti-corruption organisations and institutions (15113),,,,22107.09
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Domestic Revenue Mobilisation (15114),,,,0
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Legal and judicial development (15130),,,,39304.06
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Democratic participation and civil society (15150),,,,120344.84
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Elections (15151),,,,35597.93
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Legislatures and political parties (15152),,,,12599.14
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Media and free flow of information (15153),,,,23735.4
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Human rights (15160),,,,25500.42
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Womens equality organisations and institutions (15170),,,,30499.71
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Government and civil society, general (151)",Ending violence against women and girls  (15180),,,,0
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",,,,,187346.81
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Security system management and reform (15210),,,,41266.78
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)","Civilian peace-building, conflict prevention and resolution (15220)",,,,122173.15
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Participation in international peacekeeping operations (15230),,,,9091.18
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Reintegration and SALW control (15240),,,,466.74
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Removal of land mines and explosive remnants of war (15250),,,,12059.94
2014,Bilateral,Social infrastructure and services (100),Government and civil society (150),"Conflict prevention and resolution, peace and security (152)",Child soldiers (Prevention and demobilisation) (15261),,,,2289.01
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,,,,,198641.52
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Social/ welfare services (16010),,,,174579.66
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Employment policy and administrative management (16020),,,,1136.39
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Housing policy and administrative management (16030),,,,118.71
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Low-cost housing (16040),,,,7132.2
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Multisector aid for basic social services (16050),,,,0
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Culture and recreation (16061),,,,1249.63
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Statistical capacity building (16062),,,,12893.99
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Narcotics control (16063),,,,1530.94
2014,Bilateral,Social infrastructure and services (100),Other social infrastructure and services (160),,Social mitigation of HIV/AIDS (16064),,,,0
2014,Bilateral,Economic infrastructure and services (200),,,,,,,396384.18
2014,Bilateral,Economic infrastructure and services (200),Transport and storage (210),,,,,,125093.59
2014,Bilateral,Economic infrastructure and services (200),Transport and storage (210),,Transport policy and administrative management (21010),,,,83996.44
2014,Bilateral,Economic infrastructure and services (200),Transport and storage (210),,Road transport (21020),,,,41097.16
2014,Bilateral,Economic infrastructure and services (200),Transport and storage (210),,Rail transport (21030),,,,0
2014,Bilateral,Economic infrastructure and services (200),Transport and storage (210),,Water transport (21040),,,,0
2014,Bilateral,Economic infrastructure and services (200),Transport and storage (210),,Air transport (21050),,,,0
2014,Bilateral,Economic infrastructure and services (200),Transport and storage (210),,Storage (21061),,,,0
2014,Bilateral,Economic infrastructure and services (200),Transport and storage (210),,Education and training in transport and storage (21081),,,,0
2014,Bilateral,Economic infrastructure and services (200),Communications (220),,,,,,-1725.98
2014,Bilateral,Economic infrastructure and services (200),Communications (220),,Communications policy and administrative management (22010),,,,894.1
2014,Bilateral,Economic infrastructure and services (200),Communications (220),,Telecommunications (22020),,,,6920.28
2014,Bilateral,Economic infrastructure and services (200),Communications (220),,Radio/television/print media (22030),,,,-3058.03
2014,Bilateral,Economic infrastructure and services (200),Communications (220),,Information and communication technology (ICT) (22040),,,,-6482.33
2014,Bilateral,Economic infrastructure and services (200),"Energy generation, distribution and efficiency (230)",,,,,,108587.99
2014,Bilateral,Economic infrastructure and services (200),Banking and financial services (240),,,,,,125316.93
2014,Bilateral,Economic infrastructure and services (200),Banking and financial services (240),,Financial policy and administrative management (24010),,,,66491.69
2014,Bilateral,Economic infrastructure and services (200),Banking and financial services (240),,Monetary institutions (24020),,,,-60391.75
2014,Bilateral,Economic infrastructure and services (200),Banking and financial services (240),,Formal sector financial intermediaries (24030),,,,100126.97
2014,Bilateral,Economic infrastructure and services (200),Banking and financial services (240),,Informal/semi-formal financial intermediaries (24040),,,,12322.6
2014,Bilateral,Economic infrastructure and services (200),Banking and financial services (240),,Education/training in banking and financial services (24081),,,,6767.42
2014,Bilateral,Economic infrastructure and services (200),Business and other services (250),,,,,,39111.65
2014,Bilateral,Economic infrastructure and services (200),Business and other services (250),,Business support services and institutions (25010),,,,39111.65
2014,Bilateral,Economic infrastructure and services (200),Business and other services (250),,Privatisation (25020),,,,0
2014,Bilateral,Production sectors (300),,,,,,,358112.31
2014,Bilateral,Production sectors (300),,Agriculture (311),,,,,154471.91
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural policy and administrative management (31110),,,,7224.02
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural development (31120),,,,69668.74
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural land resources (31130),,,,2529.31
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural water resources (31140),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural inputs (31150),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Food crop production (31161),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Industrial crops/export crops (31162),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Livestock (31163),,,,1339.41
2014,Bilateral,Production sectors (300),,Agriculture (311),Agrarian reform (31164),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural alternative development (31165),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural extension (31166),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural education/training (31181),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural research (31182),,,,47124.58
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural services (31191),,,,26585.85
2014,Bilateral,Production sectors (300),,Agriculture (311),Plant and post-harvest protection and pest control (31192),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural financial services (31193),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Agricultural co-operatives (31194),,,,0
2014,Bilateral,Production sectors (300),,Agriculture (311),Livestock/veterinary services (31195),,,,0
2014,Bilateral,Production sectors (300),,Forestry (312),,,,,117696.6
2014,Bilateral,Production sectors (300),,Forestry (312),Forestry policy and administrative management (31210),,,,76673.9
2014,Bilateral,Production sectors (300),,Forestry (312),Forestry development (31220),,,,41013.25
2014,Bilateral,Production sectors (300),,Forestry (312),Fuelwood/charcoal (31261),,,,0
2014,Bilateral,Production sectors (300),,Forestry (312),Forestry education/training (31281),,,,0
2014,Bilateral,Production sectors (300),,Forestry (312),Forestry research (31282),,,,9.45
2014,Bilateral,Production sectors (300),,Forestry (312),Forestry services (31291),,,,0
2014,Bilateral,Production sectors (300),,Fishing (313),,,,,835.88
2014,Bilateral,Production sectors (300),,Fishing (313),Fishing policy and administrative management (31310),,,,726.74
2014,Bilateral,Production sectors (300),,Fishing (313),Fishery development (31320),,,,109.14
2014,Bilateral,Production sectors (300),,Fishing (313),Fishery education/training (31381),,,,0
2014,Bilateral,Production sectors (300),,Fishing (313),Fishery research (31382),,,,0
2014,Bilateral,Production sectors (300),,Fishing (313),Fishery services (31391),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),,,,,57531.83
2014,Bilateral,Production sectors (300),,Industry (321),Industrial policy and administrative management (32110),,,,-6659.24
2014,Bilateral,Production sectors (300),,Industry (321),Industrial development (32120),,,,4745.2
2014,Bilateral,Production sectors (300),,Industry (321),Small and medium-sized enterprises (SME) development (32130),,,,54261.42
2014,Bilateral,Production sectors (300),,Industry (321),Cottage industries and handicraft (32140),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Agro-industries (32161),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Forest industries (32162),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),"Textiles, leather and substitutes (32163)",,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Chemicals (32164),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Fertilizer plants (32165),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Cement/lime/plaster (32166),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Energy manufacturing (32167),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Pharmaceutical production (32168),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Basic metal industries (32169),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Non-ferrous metal industries (32170),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Engineering (32171),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Transport equipment industry (32172),,,,0
2014,Bilateral,Production sectors (300),,Industry (321),Technological research and development (32182),,,,5184.45
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),,,,,4527.05
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Mineral/mining policy and administrative management (32210),,,,4527.05
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Mineral prospection and exploration (32220),,,,0
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Coal (32261),,,,0
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Oil and gas (32262),,,,0
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Ferrous metals (32263),,,,0
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Nonferrous metals (32264),,,,0
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Precious metals/materials (32265),,,,0
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Industrial minerals (32266),,,,0
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Fertilizer minerals (32267),,,,0
2014,Bilateral,Production sectors (300),,Mineral resources and mining (322),Offshore minerals (32268),,,,0
2014,Bilateral,Production sectors (300),,Construction (323),,,,,7830.03
2014,Bilateral,Production sectors (300),,Construction (323),Construction policy and administrative management (32310),,,,7830.03
2014,Bilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),,,,,15207.14
2014,Bilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade policy and administrative Management (33110),,,,21519.62
2014,Bilateral,Production sectors (300),,Trade policy and regulations and trade- related adjustment (331),Trade facilitation (33120),,,,-12320.39
