Year,Sex,Age,Occupation category,Occupation sub-category,Value
2013,,30 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",14.37
2013,,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",14.44
2013,,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",13.5
2013,,18 to 21,Skilled trades occupations,Skilled construction and building trades,8.3
2013,,22 to 29,Skilled trades occupations,Skilled construction and building trades,11.22
2013,,30 to 39,Skilled trades occupations,Skilled construction and building trades,11.92
2013,,30 to 49,Skilled trades occupations,Skilled construction and building trades,13.17
2013,,50 to 59,Skilled trades occupations,Skilled construction and building trades,13.37
2013,,60 and over,Skilled trades occupations,Skilled construction and building trades,12.94
2013,,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",7.02
2013,,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",8.28
2013,,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",9.42
2013,,30 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",10.08
2013,,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",10.02
2013,,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",9.58
2013,,18 to 21,"Caring, leisure and other service occupations",,7.31
2013,,22 to 29,"Caring, leisure and other service occupations",,8.39
2013,,30 to 39,"Caring, leisure and other service occupations",,9.47
2013,,30 to 49,"Caring, leisure and other service occupations",,9.7
2013,,50 to 59,"Caring, leisure and other service occupations",,9.77
2013,,60 and over,"Caring, leisure and other service occupations",,9.37
2013,,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,7.31
2013,,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,8.35
2013,,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,9.21
2013,,30 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,9.33
2013,,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,9.57
2013,,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,9.27
2013,,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.28
2013,,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.55
2013,,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.8
2013,,30 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",11.73
2013,,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.78
2013,,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",9.66
2013,,18 to 21,Sales and customer service occupations,,7.01
2013,,22 to 29,Sales and customer service occupations,,8.31
2013,,30 to 39,Sales and customer service occupations,,9.68
2013,,30 to 49,Sales and customer service occupations,,9.62
2013,,50 to 59,Sales and customer service occupations,,9.22
2013,,60 and over,Sales and customer service occupations,,8.55
2013,,18 to 21,Sales and customer service occupations,Sales occupations,6.9
2013,,22 to 29,Sales and customer service occupations,Sales occupations,7.88
2013,,30 to 39,Sales and customer service occupations,Sales occupations,8.88
2013,,30 to 49,Sales and customer service occupations,Sales occupations,8.78
2013,,50 to 59,Sales and customer service occupations,Sales occupations,8.4
2013,,60 and over,Sales and customer service occupations,Sales occupations,8.09
2013,,18 to 21,Sales and customer service occupations,Customer service occupations,7.57
2013,,22 to 29,Sales and customer service occupations,Customer service occupations,9.35
2013,,30 to 39,Sales and customer service occupations,Customer service occupations,11.16
2013,,30 to 49,Sales and customer service occupations,Customer service occupations,11.57
2013,,50 to 59,Sales and customer service occupations,Customer service occupations,11.29
2013,,60 and over,Sales and customer service occupations,Customer service occupations,10.3
2013,,18 to 21,"Process, plant and machine operatives",,8.22
2013,,22 to 29,"Process, plant and machine operatives",,9.51
2013,,30 to 39,"Process, plant and machine operatives",,10.68
2013,,30 to 49,"Process, plant and machine operatives",,11.29
2013,,50 to 59,"Process, plant and machine operatives",,11
2013,,60 and over,"Process, plant and machine operatives",,10.02
2013,,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",8.23
2013,,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",9.44
2013,,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",10.73
2013,,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",11.45
2013,,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",11.31
2013,,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",10.41
2013,,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.17
2013,,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.67
2013,,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.62
2013,,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,11.17
2013,,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.75
2013,,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.82
2013,,18 to 21,Elementary occupations,,6.73
2013,,22 to 29,Elementary occupations,,7.82
2013,,30 to 39,Elementary occupations,,8.73
2013,,30 to 49,Elementary occupations,,8.94
2013,,50 to 59,Elementary occupations,,9.03
2013,,60 and over,Elementary occupations,,8.5
2013,,18 to 21,Elementary occupations,Elementary trades and related occupations,7.54
2013,,22 to 29,Elementary occupations,Elementary trades and related occupations,8.21
2013,,30 to 39,Elementary occupations,Elementary trades and related occupations,8.85
2013,,30 to 49,Elementary occupations,Elementary trades and related occupations,9.64
2013,,50 to 59,Elementary occupations,Elementary trades and related occupations,9.55
2013,,60 and over,Elementary occupations,Elementary trades and related occupations,9.24
2013,,18 to 21,Elementary occupations,Elementary administration and service occupations,6.63
2013,,22 to 29,Elementary occupations,Elementary administration and service occupations,7.74
2013,,30 to 39,Elementary occupations,Elementary administration and service occupations,8.71
2013,,30 to 49,Elementary occupations,Elementary administration and service occupations,8.81
2013,,50 to 59,Elementary occupations,Elementary administration and service occupations,8.92
2013,,60 and over,Elementary occupations,Elementary administration and service occupations,8.38
2013,Male,,,,16.52
2013,Male,18 to 21,,,7.89
2013,Male,22 to 29,,,11.85
2013,Male,30 to 39,,,16.81
2013,Male,30 to 49,,,18.97
2013,Male,50 to 59,,,18.62
2013,Male,60 and over,,,16.01
2013,Male,18 to 21,"Managers, directors and senior officials",,10.84
2013,Male,22 to 29,"Managers, directors and senior officials",,14.77
2013,Male,30 to 39,"Managers, directors and senior officials",,24.41
2013,Male,30 to 49,"Managers, directors and senior officials",,28.48
2013,Male,50 to 59,"Managers, directors and senior officials",,29.81
2013,Male,60 and over,"Managers, directors and senior officials",,25.58
2013,Male,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,9.17
2013,Male,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,15.95
2013,Male,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,26.01
2013,Male,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,29.71
2013,Male,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,31.01
2013,Male,60 and over,"Managers, directors and senior officials",Corporate managers and directors,27.1
2013,Male,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,11.1
2013,Male,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,15.5
2013,Male,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,19.83
2013,Male,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,21.2
2013,Male,60 and over,"Managers, directors and senior officials",Other managers and proprietors,18.21
2013,Male,18 to 21,Professional occupations,,10.9
2013,Male,22 to 29,Professional occupations,,16.21
2013,Male,30 to 39,Professional occupations,,22.09
2013,Male,30 to 49,Professional occupations,,25.06
2013,Male,50 to 59,Professional occupations,,25.35
2013,Male,60 and over,Professional occupations,,24.68
2013,Male,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",10.8
2013,Male,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",15.46
2013,Male,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",21.26
2013,Male,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",23.65
2013,Male,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",23.38
2013,Male,60 and over,Professional occupations,"Science, research, engineering and technology professionals",21.58
2013,Male,18 to 21,Professional occupations,Health professionals,8.56
2013,Male,22 to 29,Professional occupations,Health professionals,16.67
2013,Male,30 to 39,Professional occupations,Health professionals,23.63
2013,Male,30 to 49,Professional occupations,Health professionals,29.73
2013,Male,50 to 59,Professional occupations,Health professionals,33.4
2013,Male,60 and over,Professional occupations,Health professionals,35.12
2013,Male,18 to 21,Professional occupations,Teaching and educational professionals,15.76
2013,Male,22 to 29,Professional occupations,Teaching and educational professionals,16.42
2013,Male,30 to 39,Professional occupations,Teaching and educational professionals,22.61
2013,Male,30 to 49,Professional occupations,Teaching and educational professionals,25.17
2013,Male,50 to 59,Professional occupations,Teaching and educational professionals,26.59
2013,Male,60 and over,Professional occupations,Teaching and educational professionals,27.89
2013,Male,18 to 21,Professional occupations,"Business, media and public service professionals",10.97
2013,Male,22 to 29,Professional occupations,"Business, media and public service professionals",16.89
2013,Male,30 to 39,Professional occupations,"Business, media and public service professionals",22.26
2013,Male,30 to 49,Professional occupations,"Business, media and public service professionals",24.64
2013,Male,50 to 59,Professional occupations,"Business, media and public service professionals",23.52
2013,Male,60 and over,Professional occupations,"Business, media and public service professionals",22.1
2013,Male,18 to 21,Associate professional and technical occupations,,10.27
2013,Male,22 to 29,Associate professional and technical occupations,,14.5
2013,Male,30 to 39,Associate professional and technical occupations,,18.43
2013,Male,30 to 49,Associate professional and technical occupations,,20.53
2013,Male,50 to 59,Associate professional and technical occupations,,19.7
2013,Male,60 and over,Associate professional and technical occupations,,17.14
2013,Male,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",9.02
2013,Male,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",12.17
2013,Male,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",15.68
2013,Male,30 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",16.23
2013,Male,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",16.44
2013,Male,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",15.18
2013,Male,18 to 21,Associate professional and technical occupations,Health and social care associate professionals,10.58
2013,Male,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,12.14
2013,Male,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,14.44
2013,Male,30 to 49,Associate professional and technical occupations,Health and social care associate professionals,15.7
2013,Male,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,14.68
2013,Male,60 and over,Associate professional and technical occupations,Health and social care associate professionals,13.92
2013,Male,18 to 21,Associate professional and technical occupations,Protective service occupations,11.93
2013,Male,22 to 29,Associate professional and technical occupations,Protective service occupations,14.69
2013,Male,30 to 39,Associate professional and technical occupations,Protective service occupations,16.75
2013,Male,30 to 49,Associate professional and technical occupations,Protective service occupations,18.12
2013,Male,50 to 59,Associate professional and technical occupations,Protective service occupations,18.28
2013,Male,60 and over,Associate professional and technical occupations,Protective service occupations,14.43
2013,Male,18 to 21,Associate professional and technical occupations,"Culture, media and sports occupations",9.92
2013,Male,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",15.05
2013,Male,30 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",17.47
2013,Male,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",23.3
2013,Male,60 and over,Associate professional and technical occupations,"Culture, media and sports occupations",16.16
2013,Male,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,11.19
2013,Male,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,14.97
2013,Male,30 to 39,Associate professional and technical occupations,Business and public service associate professionals,20.98
2013,Male,30 to 49,Associate professional and technical occupations,Business and public service associate professionals,24.07
2013,Male,50 to 59,Associate professional and technical occupations,Business and public service associate professionals,22.03
2013,Male,60 and over,Associate professional and technical occupations,Business and public service associate professionals,18.89
2013,Male,18 to 21,Administrative and secretarial occupations,Administrative and secretarial occupations,8.34
2013,Male,22 to 29,Administrative and secretarial occupations,,10.54
2013,Male,30 to 39,Administrative and secretarial occupations,,12.92
2013,Male,30 to 49,Administrative and secretarial occupations,,14.42
2013,Male,50 to 59,Administrative and secretarial occupations,,14.36
2013,Male,60 and over,Administrative and secretarial occupations,,12.74
2013,Male,18 to 21,Administrative and secretarial occupations,Administrative occupations,8.41
2013,Male,22 to 29,Administrative and secretarial occupations,Administrative occupations,10.68
2013,Male,30 to 39,Administrative and secretarial occupations,Administrative occupations,13.03
2013,Male,30 to 49,Administrative and secretarial occupations,Administrative occupations,14.63
2013,Male,50 to 59,Administrative and secretarial occupations,Administrative occupations,14.34
2013,Male,60 and over,Administrative and secretarial occupations,Administrative occupations,12.71
2013,Male,18 to 21,Administrative and secretarial occupations,Secretarial and related occupations,7.39
2013,Male,22 to 29,Administrative and secretarial occupations,Secretarial and related occupations,8.87
2013,Male,30 to 39,Administrative and secretarial occupations,Secretarial and related occupations,11.2
2013,Male,30 to 49,Administrative and secretarial occupations,Secretarial and related occupations,11.35
2013,Male,50 to 59,Administrative and secretarial occupations,Secretarial and related occupations,14.7
2013,Male,60 and over,Administrative and secretarial occupations,Secretarial and related occupations,13.2
2013,Male,18 to 21,Skilled trades occupations,,8.34
2013,Male,22 to 29,Skilled trades occupations,,10.86
2013,Male,30 to 39,Skilled trades occupations,,12.21
2013,Male,30 to 49,Skilled trades occupations,,13.41
2013,Male,50 to 59,Skilled trades occupations,,13.67
2013,Male,60 and over,Skilled trades occupations,,12.78
2013,Male,18 to 21,Skilled trades occupations,Skilled agricultural and related trades,7.2
2013,Male,22 to 29,Skilled trades occupations,Skilled agricultural and related trades,8.43
2013,Male,30 to 39,Skilled trades occupations,Skilled agricultural and related trades,9.55
2013,Male,30 to 49,Skilled trades occupations,Skilled agricultural and related trades,10.4
2013,Male,50 to 59,Skilled trades occupations,Skilled agricultural and related trades,10.14
2013,Male,60 and over,Skilled trades occupations,Skilled agricultural and related trades,9.19
2013,Male,18 to 21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",9.1
2013,Male,22 to 29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",12.06
2013,Male,30 to 39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",13.65
2013,Male,30 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",14.44
2013,Male,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",14.5
2013,Male,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",13.57
2013,Male,18 to 21,Skilled trades occupations,Skilled construction and building trades,8.27
2013,Male,22 to 29,Skilled trades occupations,Skilled construction and building trades,11.25
2013,Male,30 to 39,Skilled trades occupations,Skilled construction and building trades,11.95
2013,Male,30 to 49,Skilled trades occupations,Skilled construction and building trades,13.19
2013,Male,50 to 59,Skilled trades occupations,Skilled construction and building trades,13.41
2013,Male,60 and over,Skilled trades occupations,Skilled construction and building trades,12.98
2013,Male,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",6.98
2013,Male,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",8.33
2013,Male,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",9.53
2013,Male,30 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",10.8
2013,Male,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",10.92
2013,Male,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",10.46
2013,Male,18 to 21,"Caring, leisure and other service occupations",,7.71
2013,Male,22 to 29,"Caring, leisure and other service occupations",,8.61
2013,Male,30 to 39,"Caring, leisure and other service occupations",,10.36
2013,Male,30 to 49,"Caring, leisure and other service occupations",,11
2013,Male,50 to 59,"Caring, leisure and other service occupations",,10.64
2013,Male,60 and over,"Caring, leisure and other service occupations",,9.8
2013,Male,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,7.59
2013,Male,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,8.5
2013,Male,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,9.84
2013,Male,30 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,10.04
2013,Male,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,10.19
2013,Male,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,9.41
2013,Male,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.86
2013,Male,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.87
2013,Male,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",11.43
2013,Male,30 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",12.71
2013,Male,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",11.31
2013,Male,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",10.22
2013,Male,18 to 21,Sales and customer service occupations,,7.13
2013,Male,22 to 29,Sales and customer service occupations,,8.39
2013,Male,30 to 39,Sales and customer service occupations,,10
2013,Male,30 to 49,Sales and customer service occupations,,10.91
2013,Male,50 to 59,Sales and customer service occupations,,10.61
2013,Male,60 and over,Sales and customer service occupations,,9.6
2013,Male,18 to 21,Sales and customer service occupations,Sales occupations,7.05
2013,Male,22 to 29,Sales and customer service occupations,Sales occupations,7.98
2013,Male,30 to 39,Sales and customer service occupations,Sales occupations,9.29
2013,Male,30 to 49,Sales and customer service occupations,Sales occupations,10.18
2013,Male,50 to 59,Sales and customer service occupations,Sales occupations,9.79
2013,Male,60 and over,Sales and customer service occupations,Sales occupations,8.99
2013,Male,18 to 21,Sales and customer service occupations,Customer service occupations,7.59
2013,Male,22 to 29,Sales and customer service occupations,Customer service occupations,9.47
2013,Male,30 to 39,Sales and customer service occupations,Customer service occupations,11.35
2013,Male,30 to 49,Sales and customer service occupations,Customer service occupations,12.6
2013,Male,50 to 59,Sales and customer service occupations,Customer service occupations,12.66
2013,Male,60 and over,Sales and customer service occupations,Customer service occupations,11.38
2013,Male,18 to 21,"Process, plant and machine operatives",,8.4
2013,Male,22 to 29,"Process, plant and machine operatives",,9.67
2013,Male,30 to 39,"Process, plant and machine operatives",,10.84
2013,Male,30 to 49,"Process, plant and machine operatives",,11.54
2013,Male,50 to 59,"Process, plant and machine operatives",,11.24
2013,Male,60 and over,"Process, plant and machine operatives",,10.16
2013,Male,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",8.4
2013,Male,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",9.68
2013,Male,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",11.07
2013,Male,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",12.03
2013,Male,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",12
2013,Male,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",10.9
2013,Male,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.36
2013,Male,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.67
2013,Male,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.6
2013,Male,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,11.21
2013,Male,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,10.75
2013,Male,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,9.83
2013,Male,18 to 21,Elementary occupations,,6.93
2013,Male,22 to 29,Elementary occupations,,8.07
2013,Male,30 to 39,Elementary occupations,,9.12
2013,Male,30 to 49,Elementary occupations,,9.73
2013,Male,50 to 59,Elementary occupations,,9.77
2013,Male,60 and over,Elementary occupations,,9
2013,Male,18 to 21,Elementary occupations,Elementary trades and related occupations,7.51
2013,Male,22 to 29,Elementary occupations,Elementary trades and related occupations,8.44
2013,Male,30 to 39,Elementary occupations,Elementary trades and related occupations,9.13
2013,Male,30 to 49,Elementary occupations,Elementary trades and related occupations,10.18
2013,Male,50 to 59,Elementary occupations,Elementary trades and related occupations,10.15
2013,Male,60 and over,Elementary occupations,Elementary trades and related occupations,9.56
2013,Male,18 to 21,Elementary occupations,Elementary administration and service occupations,6.81
2013,Male,22 to 29,Elementary occupations,Elementary administration and service occupations,7.97
2013,Male,30 to 39,Elementary occupations,Elementary administration and service occupations,9.12
2013,Male,30 to 49,Elementary occupations,Elementary administration and service occupations,9.61
2013,Male,50 to 59,Elementary occupations,Elementary administration and service occupations,9.68
2013,Male,60 and over,Elementary occupations,Elementary administration and service occupations,8.88
2013,Female,,,,13.36
2013,Female,18 to 21,,,7.34
2013,Female,22 to 29,,,11.28
2013,Female,30 to 39,,,14.91
2013,Female,30 to 49,,,14.41
2013,Female,50 to 59,,,13.86
2013,Female,60 and over,,,12.18
2013,Female,18 to 21,"Managers, directors and senior officials",,11.32
2013,Female,22 to 29,"Managers, directors and senior officials",,13.44
2013,Female,30 to 39,"Managers, directors and senior officials",,20.87
2013,Female,30 to 49,"Managers, directors and senior officials",,22.91
2013,Female,50 to 59,"Managers, directors and senior officials",,20.55
2013,Female,60 and over,"Managers, directors and senior officials",,16.68
2013,Female,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,9.06
2013,Female,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,14.57
2013,Female,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,22.6
2013,Female,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,24.76
2013,Female,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,22.2
2013,Female,60 and over,"Managers, directors and senior officials",Corporate managers and directors,17.34
2013,Female,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,10.52
2013,Female,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,14.6
2013,Female,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,15.94
2013,Female,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,16.07
2013,Female,60 and over,"Managers, directors and senior officials",Other managers and proprietors,15.23
2013,Female,18 to 21,Professional occupations,,12.08
2013,Female,22 to 29,Professional occupations,,15.99
2013,Female,30 to 39,Professional occupations,,20
2013,Female,30 to 49,Professional occupations,,20.56
2013,Female,50 to 59,Professional occupations,,20.9
2013,Female,60 and over,Professional occupations,,20.44
2013,Female,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",12.26
2013,Female,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",15.6
2013,Female,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",19.57
2013,Female,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",20.77
2013,Female,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",22.14
2013,Female,60 and over,Professional occupations,"Science, research, engineering and technology professionals",18.33
2013,Female,18 to 21,Professional occupations,Health professionals,11.37
2013,Female,22 to 29,Professional occupations,Health professionals,15.26
2013,Female,30 to 39,Professional occupations,Health professionals,18.53
2013,Female,30 to 49,Professional occupations,Health professionals,19.57
2013,Female,50 to 59,Professional occupations,Health professionals,19.46
2013,Female,60 and over,Professional occupations,Health professionals,18.96
2013,Female,18 to 21,Professional occupations,Teaching and educational professionals,13.93
2013,Female,22 to 29,Professional occupations,Teaching and educational professionals,16.77
2013,Female,30 to 39,Professional occupations,Teaching and educational professionals,21.38
2013,Female,30 to 49,Professional occupations,Teaching and educational professionals,22.28
2013,Female,50 to 59,Professional occupations,Teaching and educational professionals,23.56
2013,Female,60 and over,Professional occupations,Teaching and educational professionals,23.67
2013,Female,18 to 21,Professional occupations,"Business, media and public service professionals",11.21
2013,Female,22 to 29,Professional occupations,"Business, media and public service professionals",16.31
2013,Female,30 to 39,Professional occupations,"Business, media and public service professionals",20.64
2013,Female,30 to 49,Professional occupations,"Business, media and public service professionals",20.19
2013,Female,50 to 59,Professional occupations,"Business, media and public service professionals",19.1
2013,Female,60 and over,Professional occupations,"Business, media and public service professionals",17.77
2013,Female,18 to 21,Associate professional and technical occupations,,8.84
2013,Female,22 to 29,Associate professional and technical occupations,,13.11
2013,Female,30 to 39,Associate professional and technical occupations,,16.26
2013,Female,30 to 49,Associate professional and technical occupations,,16
2013,Female,50 to 59,Associate professional and technical occupations,,14.92
2013,Female,60 and over,Associate professional and technical occupations,,13.97
2013,Female,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",9.38
2013,Female,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",11.75
2013,Female,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",14.11
2013,Female,30 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",12.98
2013,Female,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",12.68
2013,Female,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",11.59
2013,Female,18 to 21,Associate professional and technical occupations,Health and social care associate professionals,9.11
2013,Female,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,11.71
2013,Female,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,13.28
2013,Female,30 to 49,Associate professional and technical occupations,Health and social care associate professionals,13.33
2013,Female,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,13.34
2013,Female,60 and over,Associate professional and technical occupations,Health and social care associate professionals,12.39
2013,Female,18 to 21,Associate professional and technical occupations,Protective service occupations,9.86
2013,Female,22 to 29,Associate professional and technical occupations,Protective service occupations,14.52
2013,Female,30 to 39,Associate professional and technical occupations,Protective service occupations,16.42
2013,Female,30 to 49,Associate professional and technical occupations,Protective service occupations,17.69
2013,Female,50 to 59,Associate professional and technical occupations,Protective service occupations,16.25
2013,Female,60 and over,Associate professional and technical occupations,Protective service occupations,12.57
2013,Female,18 to 21,Associate professional and technical occupations,"Culture, media and sports occupations",8.26
2013,Female,22 to 29,Associate professional and technical occupations,"Culture, media and sports occupations",11.79
2013,Female,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",14.37
2013,Female,30 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",16.08
2013,Female,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",14.82
2013,Female,60 and over,Associate professional and technical occupations,"Culture, media and sports occupations",17.18
2013,Female,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,8.78
2013,Female,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,13.53
2013,Female,30 to 39,Associate professional and technical occupations,Business and public service associate professionals,17.25
2013,Female,30 to 49,Associate professional and technical occupations,Business and public service associate professionals,17.12
2013,Female,50 to 59,Associate professional and technical occupations,Business and public service associate professionals,15.96
2013,Female,60 and over,Associate professional and technical occupations,Business and public service associate professionals,14.9
2013,Female,18 to 21,Administrative and secretarial occupations,Administrative and secretarial occupations,8.02
2013,Female,22 to 29,Administrative and secretarial occupations,,10.1
2013,Female,30 to 39,Administrative and secretarial occupations,,11.6
2013,Female,30 to 49,Administrative and secretarial occupations,,11.49
2013,Female,50 to 59,Administrative and secretarial occupations,,11.19
2013,Female,60 and over,Administrative and secretarial occupations,,11
2013,Female,18 to 21,Administrative and secretarial occupations,Administrative occupations,8.07
2013,Female,22 to 29,Administrative and secretarial occupations,Administrative occupations,10.23
2013,Female,30 to 39,Administrative and secretarial occupations,Administrative occupations,11.67
2013,Female,30 to 49,Administrative and secretarial occupations,Administrative occupations,11.55
2013,Female,50 to 59,Administrative and secretarial occupations,Administrative occupations,11.36
2013,Female,60 and over,Administrative and secretarial occupations,Administrative occupations,10.91
2013,Female,18 to 21,Administrative and secretarial occupations,Secretarial and related occupations,7.8
2013,Female,22 to 29,Administrative and secretarial occupations,Secretarial and related occupations,9.54
2013,Female,30 to 39,Administrative and secretarial occupations,Secretarial and related occupations,11.32
2013,Female,30 to 49,Administrative and secretarial occupations,Secretarial and related occupations,11.31
