Year,Units,Government,Area of spending category,Area of spending sub-category,Value
2009,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,130.1949069
2009,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2009,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2009,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2009,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2009,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2009,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,106.6808008
2009,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,63.37886782
2009,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,51.05966062
2009,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2009,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2009,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2009,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-7.757727612
2010,GBP(£) per capita,,Environmental protection,,250.3684701
2010,GBP(£) per capita,,Environmental protection,Waste management,186.3144225
2010,GBP(£) per capita,,Environmental protection,Waste water management,0.270875326
2010,GBP(£) per capita,,Environmental protection,Pollution abatement,8.126259769
2010,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,10.35699775
2010,GBP(£) per capita,,Environmental protection,Research and development environmental protection,12.41246345
2010,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,32.8874513
2010,GBP(£) per capita,,"Recreation, culture and religion",,248.3767398
2010,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,97.26017575
2010,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,91.77893387
2010,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,63.01834782
2010,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.748890606
2010,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",2.629084043
2010,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-7.05869231
2010,GBP(£) per capita,Central government,Environmental protection,,119.5038201
2010,GBP(£) per capita,Central government,Environmental protection,Waste management,55.44977254
2010,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.270875326
2010,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,8.126259769
2010,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,10.35699775
2010,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,12.41246345
2010,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,32.8874513
2010,GBP(£) per capita,Central government,"Recreation, culture and religion",,144.2968794
2010,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,34.99071854
2010,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,41.36425561
2010,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,63.01834782
2010,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.748890606
2010,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",2.629084043
2010,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",1.54558274
2010,GBP(£) per capita,Local governemnt,Environmental protection,,130.86465
2010,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,130.86465
2010,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2010,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2010,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2010,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2010,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2010,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,104.0798604
2010,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,62.26945721
2010,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,50.41467826
2010,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2010,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2010,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2010,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-8.60427505
2011,GBP(£) per capita,,Environmental protection,,233.4988805
2011,GBP(£) per capita,,Environmental protection,Waste management,180.5322264
2011,GBP(£) per capita,,Environmental protection,Waste water management,0.173816586
2011,GBP(£) per capita,,Environmental protection,Pollution abatement,4.171598054
2011,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,8.880447372
2011,GBP(£) per capita,,Environmental protection,Research and development environmental protection,9.228080543
2011,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,30.51271152
2011,GBP(£) per capita,,"Recreation, culture and religion",,237.2122348
2011,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,92.45462202
2011,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,86.03920986
2011,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,64.12251857
2011,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.790075389
2011,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",2.27541712
2011,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-8.46960817
2011,GBP(£) per capita,Central government,Environmental protection,,103.3418609
2011,GBP(£) per capita,Central government,Environmental protection,Waste management,50.3752068
2011,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.173816586
2011,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,4.171598054
2011,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,8.880447372
2011,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,9.228080543
2011,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,30.51271152
2011,GBP(£) per capita,Central government,"Recreation, culture and religion",,140.5070072
2011,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,33.54660102
2011,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,38.30285486
2011,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,64.12251857
2011,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.790075389
2011,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",2.27541712
2011,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",1.469540224
2011,GBP(£) per capita,Local governemnt,Environmental protection,,130.1570196
2011,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,130.1570196
2011,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2011,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2011,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2011,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2011,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2011,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,96.70522761
2011,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,58.908021
2011,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,47.736355
2011,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2011,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2011,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2011,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-9.939148394
2012,GBP(£) per capita,,Environmental protection,,223.9541637
2012,GBP(£) per capita,,Environmental protection,Waste management,172.4354446
2012,GBP(£) per capita,,Environmental protection,Waste water management,0.21976297
2012,GBP(£) per capita,,Environmental protection,Pollution abatement,2.684247704
2012,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,7.173691233
2012,GBP(£) per capita,,Environmental protection,Research and development environmental protection,10.48583314
2012,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,30.95518405
2012,GBP(£) per capita,,"Recreation, culture and religion",,232.367946
2012,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,89.38073935
2012,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,83.93375716
2012,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,64.15508987
2012,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.91044659
2012,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",2.134840279
2012,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-8.146927243
2012,GBP(£) per capita,Central government,Environmental protection,,104.7170552
2012,GBP(£) per capita,Central government,Environmental protection,Waste management,53.19833608
2012,GBP(£) per capita,Central government,Environmental protection,Waste water management,0.21976297
2012,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,2.684247704
2012,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,7.173691233
2012,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,10.48583314
2012,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,30.95518405
2012,GBP(£) per capita,Central government,"Recreation, culture and religion",,143.1441802
2012,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,33.68652382
2012,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,38.83525626
2012,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,64.15508987
2012,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.91044659
2012,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",2.134840279
2012,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",3.422023389
2012,GBP(£) per capita,Local governemnt,Environmental protection,,119.2371085
2012,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,119.2371085
2012,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2012,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2012,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2012,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2012,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2012,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,89.2237658
2012,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,55.69421552
2012,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,45.0985009
2012,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2012,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2012,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2012,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-11.56895063
2013,GBP(£) per capita,,Environmental protection,,215.2226713
2013,GBP(£) per capita,,Environmental protection,Waste management,169.1425255
2013,GBP(£) per capita,,Environmental protection,Waste water management,0
2013,GBP(£) per capita,,Environmental protection,Pollution abatement,2.729866455
2013,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,8.033606996
2013,GBP(£) per capita,,Environmental protection,Research and development environmental protection,9.655927632
2013,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,25.66074468
2013,GBP(£) per capita,,"Recreation, culture and religion",,203.086465
2013,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,66.98312319
2013,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,80.21127606
2013,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,61.35179867
2013,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,0.935954213
2013,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",1.840709952
2013,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-8.236397075
2013,GBP(£) per capita,Central government,Environmental protection,,98.02560459
2013,GBP(£) per capita,Central government,Environmental protection,Waste management,51.94545883
2013,GBP(£) per capita,Central government,Environmental protection,Waste water management,0
2013,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,2.729866455
2013,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,8.033606996
2013,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,9.655927632
2013,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,25.66074468
2013,GBP(£) per capita,Central government,"Recreation, culture and religion",,121.8144408
2013,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,15.67723307
2013,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,38.62371053
2013,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,61.35179867
2013,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,0.935954213
2013,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",1.840709952
2013,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",3.385034404
2013,GBP(£) per capita,Local governemnt,Environmental protection,,117.1970667
2013,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,117.1970667
2013,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2013,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2013,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2013,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2013,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2013,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,81.27202417
2013,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,51.30589012
2013,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,41.58756554
2013,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2013,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2013,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2013,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-11.62143148
2014,GBP(£) per capita,,Environmental protection,,236.853838
2014,GBP(£) per capita,,Environmental protection,Waste management,179.8850717
2014,GBP(£) per capita,,Environmental protection,Waste water management,0
2014,GBP(£) per capita,,Environmental protection,Pollution abatement,7.631957001
2014,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,7.864166646
2014,GBP(£) per capita,,Environmental protection,Research and development environmental protection,9.272905159
2014,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,32.19973745
2014,GBP(£) per capita,,"Recreation, culture and religion",,194.6381245
2014,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,56.0863696
2014,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,76.47437644
2014,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,69.66289352
2014,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,1.08364501
2014,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",2.074406163
2014,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-10.74356624
2014,GBP(£) per capita,Central government,Environmental protection,,117.4980804
2014,GBP(£) per capita,Central government,Environmental protection,Waste management,60.52931415
2014,GBP(£) per capita,Central government,Environmental protection,Waste water management,0
2014,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,7.631957001
2014,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,7.864166646
2014,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,9.272905159
2014,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,32.19973745
2014,GBP(£) per capita,Central government,"Recreation, culture and religion",,123.2259183
2014,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,9.22646323
2014,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,38.59324301
2014,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,69.66289352
2014,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,1.08364501
2014,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",2.074406163
2014,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",2.585267382
2014,GBP(£) per capita,Local governemnt,Environmental protection,,119.3557576
2014,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,119.3557576
2014,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2014,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2014,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2014,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2014,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2014,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,71.41220618
2014,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,46.85990637
2014,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,37.88113343
2014,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2014,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2014,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2014,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-13.32883363
2015,GBP(£) per capita,,Environmental protection,,231.4083858
2015,GBP(£) per capita,,Environmental protection,Waste management,175.0268776
2015,GBP(£) per capita,,Environmental protection,Waste water management,0
2015,GBP(£) per capita,,Environmental protection,Pollution abatement,7.064966979
2015,GBP(£) per capita,,Environmental protection,Protection of biodiversity and landscape,8.785132852
2015,GBP(£) per capita,,Environmental protection,Research and development environmental protection,11.73398863
2015,GBP(£) per capita,,Environmental protection,Environmental protection n.e.c.,28.79741975
2015,GBP(£) per capita,,"Recreation, culture and religion",,193.2575641
2015,GBP(£) per capita,,"Recreation, culture and religion",Recreational and sporting services,54.09307326
2015,GBP(£) per capita,,"Recreation, culture and religion",Cultural services,76.39379512
2015,GBP(£) per capita,,"Recreation, culture and religion",Broadcasting and publishing services,73.46029796
2015,GBP(£) per capita,,"Recreation, culture and religion",Religious and other community services,1.42835202
2015,GBP(£) per capita,,"Recreation, culture and religion","Research and development recreation, culture and religion",2.042696974
2015,GBP(£) per capita,,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-14.16065121
2015,GBP(£) per capita,Central government,Environmental protection,,110.0291814
2015,GBP(£) per capita,Central government,Environmental protection,Waste management,53.64767317
2015,GBP(£) per capita,Central government,Environmental protection,Waste water management,0
2015,GBP(£) per capita,Central government,Environmental protection,Pollution abatement,7.064966979
2015,GBP(£) per capita,Central government,Environmental protection,Protection of biodiversity and landscape,8.785132852
2015,GBP(£) per capita,Central government,Environmental protection,Research and development environmental protection,11.73398863
2015,GBP(£) per capita,Central government,Environmental protection,Environmental protection n.e.c.,28.79741975
2015,GBP(£) per capita,Central government,"Recreation, culture and religion",,132.8520965
2015,GBP(£) per capita,Central government,"Recreation, culture and religion",Recreational and sporting services,11.81078175
2015,GBP(£) per capita,Central government,"Recreation, culture and religion",Cultural services,40.90001536
2015,GBP(£) per capita,Central government,"Recreation, culture and religion",Broadcasting and publishing services,73.46029796
2015,GBP(£) per capita,Central government,"Recreation, culture and religion",Religious and other community services,1.42835202
2015,GBP(£) per capita,Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",2.042696974
2015,GBP(£) per capita,Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",3.209952388
2015,GBP(£) per capita,Local governemnt,Environmental protection,,121.3792044
2015,GBP(£) per capita,Local governemnt,Environmental protection,Waste management,121.3792044
2015,GBP(£) per capita,Local governemnt,Environmental protection,Waste water management,0
2015,GBP(£) per capita,Local governemnt,Environmental protection,Pollution abatement,0
2015,GBP(£) per capita,Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2015,GBP(£) per capita,Local governemnt,Environmental protection,Research and development environmental protection,0
2015,GBP(£) per capita,Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2015,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",,60.40546767
2015,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Recreational and sporting services,42.28229151
2015,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Cultural services,35.49377976
2015,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2015,GBP(£) per capita,Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2015,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2015,GBP(£) per capita,Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-17.37060359
2000,Percentage (%),,,,4.022710618
2001,Percentage (%),,,,3.443720648
2002,Percentage (%),,,,3.518234856
2003,Percentage (%),,,,3.559081777
2004,Percentage (%),,,,3.324515701
2005,Percentage (%),,,,3.186046409
2006,Percentage (%),,,,3.631729365
2007,Percentage (%),,,,3.718813993
2008,Percentage (%),,,,3.458186439
2009,Percentage (%),,,,3.550220895
2010,Percentage (%),,,,3.463967588
2011,Percentage (%),,,,3.31177292
2012,Percentage (%),,,,3.088757962
2013,Percentage (%),,,,2.935355623
2014,Percentage (%),,,,2.980757097
2015,Percentage (%),,,,2.942644506
2000,Percentage (%),Central government,,,2.110508199
2001,Percentage (%),Central government,,,2.094091717
2002,Percentage (%),Central government,,,2.233153533
2003,Percentage (%),Central government,,,2.287840547
2004,Percentage (%),Central government,,,2.004254912
2005,Percentage (%),Central government,,,1.73679941
2006,Percentage (%),Central government,,,2.35420969
2007,Percentage (%),Central government,,,2.499340864
2008,Percentage (%),Central government,,,2.282908017
2009,Percentage (%),Central government,,,2.423911667
2010,Percentage (%),Central government,,,2.37881766
2011,Percentage (%),Central government,,,2.218481306
2012,Percentage (%),Central government,,,2.17624407
2013,Percentage (%),Central government,,,1.973350734
2014,Percentage (%),Central government,,,2.115873679
2015,Percentage (%),Central government,,,2.148728888
2000,Percentage (%),Local governemnt,,,9.948732404
2001,Percentage (%),Local governemnt,,,7.69018166
2002,Percentage (%),Local governemnt,,,7.547664792
2003,Percentage (%),Local governemnt,,,7.576400379
2004,Percentage (%),Local governemnt,,,7.48799392
2005,Percentage (%),Local governemnt,,,7.729462707
2006,Percentage (%),Local governemnt,,,7.642044151
2007,Percentage (%),Local governemnt,,,7.563866268
2008,Percentage (%),Local governemnt,,,7.305011904
2009,Percentage (%),Local governemnt,,,7.194988682
2010,Percentage (%),Local governemnt,,,7.101198704
2011,Percentage (%),Local governemnt,,,7.041991004
2012,Percentage (%),Local governemnt,,,6.159754723
2013,Percentage (%),Local governemnt,,,6.381089946
2014,Percentage (%),Local governemnt,,,6.156051894
2015,Percentage (%),Local governemnt,,,5.811618327
2000,GBP(£) per capita,,,,317.8848659
2001,GBP(£) per capita,,,,288.4137161
2002,GBP(£) per capita,,,,317.6413316
2003,GBP(£) per capita,,,,351.1260683
2004,GBP(£) per capita,,,,351.5572874
2005,GBP(£) per capita,,,,357.5702701
2006,GBP(£) per capita,,,,430.7783866
2007,GBP(£) per capita,,,,460.5253502
2008,GBP(£) per capita,,,,468.8485664
2009,GBP(£) per capita,,,,495.1132741
2010,GBP(£) per capita,,,,498.7452099
2011,GBP(£) per capita,,,,470.7111153
2012,GBP(£) per capita,,,,456.3221097
2013,GBP(£) per capita,,,,418.3091363
2014,GBP(£) per capita,,,,431.4919625
2015,GBP(£) per capita,,,,424.6659499
2000,GBP(£) per capita,Central government,,,126.0908771
2001,GBP(£) per capita,Central government,,,133.0840932
2002,GBP(£) per capita,Central government,,,152.8660489
2003,GBP(£) per capita,Central government,,,171.4548256
2004,GBP(£) per capita,Central government,,,160.9163575
2005,GBP(£) per capita,Central government,,,147.7820281
2006,GBP(£) per capita,Central government,,,211.7806044
2007,GBP(£) per capita,Central government,,,234.9838794
2008,GBP(£) per capita,Central government,,,237.0769833
2009,GBP(£) per capita,Central government,,,258.2375664
2010,GBP(£) per capita,Central government,,,263.8006995
2011,GBP(£) per capita,Central government,,,243.8488681
2012,GBP(£) per capita,Central government,,,247.8612354
2013,GBP(£) per capita,Central government,,,219.8400454
2014,GBP(£) per capita,Central government,,,240.7239987
2015,GBP(£) per capita,Central government,,,242.8812778
2000,GBP(£) per capita,Local governemnt,,,191.7939887
2001,GBP(£) per capita,Local governemnt,,,155.3296229
2002,GBP(£) per capita,Local governemnt,,,164.7752827
2003,GBP(£) per capita,Local governemnt,,,179.6712427
2004,GBP(£) per capita,Local governemnt,,,190.6409298
2005,GBP(£) per capita,Local governemnt,,,209.788242
2006,GBP(£) per capita,Local governemnt,,,218.9977822
2007,GBP(£) per capita,Local governemnt,,,225.5414708
2008,GBP(£) per capita,Local governemnt,,,231.7715831
2009,GBP(£) per capita,Local governemnt,,,236.8757077
2010,GBP(£) per capita,Local governemnt,,,234.9445104
2011,GBP(£) per capita,Local governemnt,,,226.8622472
2012,GBP(£) per capita,Local governemnt,,,208.4608743
2013,GBP(£) per capita,Local governemnt,,,198.4690909
2014,GBP(£) per capita,Local governemnt,,,190.7679637
2015,GBP(£) per capita,Local governemnt,,,181.7846721
